"age","job","marital","education","default","housing","loan","contact","month","day_of_week","campaign","previous","poutcome","euribor3m","new_pdays","emp_var_rate","cons_price_idx","cons_conf_idx","nr_employed","subscribe"
20,"student","single","high school","no","no","no","cellular","oct","mon",3,3,"failure",0.977,0,-1.1,94.601,-49.5,4963.6,"0"
35,"services","married","high school","no","yes","no","cellular","may","tue",1,0,"non existent",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
38,"blue collar","married","basic 9y","no","yes","no","telephone","jun","fri",1,0,"non existent",4.967,0,1.4,94.465,-41.8,5228.1,"0"
44.8876520633671,"retired","married","university degree","no","no","no","cellular","aug","thu",1,1,"failure",0.899,0,-1.7,94.027,-38.3,4991.6,"0"
45,"entrepreneur","divorced","professional course","no","yes","no","cellular","jul","tue",3,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
32,"housemaid","married","basic 4y","no","yes","yes","cellular","may","fri",1,0,"non existent",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
39,"management","single","university degree","no","no","no","cellular","may","thu",2,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
32,"admin","married","university degree","no","no","no","telephone","nov","thu",1,0,"non existent",4.592,0,-0.1,93.2,-42,5195.8,"0"
29,"admin","single","basic 9y","no","no","no","cellular","may","mon",2,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
44,"services","married","professional course","no","no","no","cellular","aug","mon",2,0,"non existent",4.97,0,1.4,93.444,-36.1,5228.1,"0"
32,"services","married","high school","no","no","yes","cellular","jul","fri",3,0,"non existent",4.957,0,1.4,93.918,-42.7,5228.1,"0"
56,"retired","married","university degree","no","yes","no","cellular","jun","wed",1,2,"failure",1.26,0,-2.9,92.963,-40.8,5076.2,"0"
33,"blue collar","married","basic 9y","no","yes","no","cellular","may","thu",1,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
39,"management","married","high school","no","no","no","cellular","aug","fri",3,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
24,"technician","married","university degree","no","yes","yes","cellular","sep","tue",2,1,"success",0.77,3,-3.4,92.379,-29.8,5017.5,"1"
33,"admin","single","university degree","no","yes","no","cellular","may","thu",1,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
58,"entrepreneur","divorced","university degree","no","no","no","telephone","jun","thu",2,0,"non existent",4.866,0,1.4,94.465,-41.8,5228.1,"0"
29,"admin","single","university degree","no","yes","no","telephone","jun","fri",1.8604324038249,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
31,"admin","married","university degree","no","yes","no","cellular","aug","thu",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
27,"admin","married","university degree","no","no","no","telephone","may","wed",5,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
60,"admin","divorced","professional course","no","yes","no","cellular","sep","wed",1,1,"failure",0.886,0,-1.1,94.199,-37.5,4963.6,"1"
55,"entrepreneur","married","professional course","no","yes","yes","cellular","oct","mon",1,2,"failure",0.739,0,-3.4,92.431,-42.9554199010762,5017.5,"0"
37,"blue collar","married","basic 9y","no","yes","no","cellular","may","wed",2,0,"non existent",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
52,"admin","married","university degree","no","yes","no","telephone","apr","wed",1,1,"success",0.654,6,-1.8,93.749,-34.6,5008.7,"1"
46,"services","married","high school","no","yes","no","cellular","apr","mon",1,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
42,"blue collar","divorced","basic 6y","no","yes","no","cellular","may","wed",2,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
35,"admin","single","university degree","no","yes","no","cellular","jul","mon",3,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
49,"technician","divorced","professional course","no","yes","yes","cellular","oct","thu",1,0,"non existent",0.754,0,-3.4,92.431,-45.9005832288392,5017.5,"0"
29,"services","divorced","high school","no","no","yes","telephone","jun","mon",3,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
32,"blue collar","married","basic 9y","no","no","no","cellular","nov","mon",2,1,"success",4.191,5,-0.1,93.2,-42,5195.8,"1"
37,"self employed","married","university degree","no","no","no","cellular","may","fri",1,1,"failure",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
39,"technician","single","professional course","no","no","no","telephone","jun","mon",4,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"1"
51,"services","married","high school","no","yes","no","telephone","jul","mon",3,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"1"
28,"admin","single","high school","no","yes","no","cellular","may","tue",3,0,"non existent",1.291,0,-1.8,92.893,-46.2,5099.1,"0"
34,"management","married","university degree","no","yes","no","cellular","may","wed",4,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
31,"technician","single","high school","no","yes","yes","cellular","aug","tue",1,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"1"
31,"admin","married","university degree","no","yes","no","cellular","aug","thu",5,0,"non existent",4.962,0,1.4,93.444,-36.1,5228.1,"0"
31,"admin","single","university degree","no","yes","no","telephone","jun","wed",2,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"0"
38,"self employed","single","university degree","no","no","no","telephone","may","thu",2,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
33,"unemployed","married","basic 9y","no","no","no","telephone","jun","fri",6,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
32,"technician","single","university degree","no","no","no","cellular","aug","tue",2.36056797020085,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"0"
54,"technician","married","professional course","no","yes","no","cellular","apr","mon",1,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
41,"admin","divorced","high school","no","yes","no","telephone","jun","tue",2,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
59,"services","married","basic 4y","no","no","no","cellular","aug","thu",3.0662792091047,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
57,"retired","married","university degree","no","yes","no","cellular","apr","thu",1,1,"success",1.365,2,-1.8,93.075,-47.1,5099.1,"0"
38,"entrepreneur","divorced","university degree","no","yes","no","cellular","nov","thu",1,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
46,"admin","married","university degree","no","yes","no","telephone","may","tue",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
37,"unemployed","single","university degree","no","yes","yes","cellular","nov","tue",1,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
47,"services","single","basic 9y","no","yes","no","telephone","jun","thu",3,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"1"
45,"admin","single","university degree","no","no","no","cellular","aug","thu",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"1"
36,"blue collar","married","basic 6y","no","yes","no","telephone","jul","wed",1,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
40,"unemployed","single","high school","no","yes","no","cellular","jul","mon",5,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
38,"blue collar","married","basic 9y","no","no","no","cellular","nov","tue",2,1,"failure",4.153,0,-0.1,93.2,-42,5195.8,"0"
44,"blue collar","married","high school","no","no","no","telephone","jun","tue",2,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
25,"self employed","married","university degree","no","yes","no","telephone","may","fri",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
30,"blue collar","single","basic 6y","no","yes","no","telephone","jul","tue",5,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
43,"management","married","professional course","no","no","no","cellular","nov","tue",2,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
58,"retired","married","basic 6y","no","no","no","telephone","may","mon",3,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
31,"technician","married","professional course","no","yes","no","telephone","may","wed",6,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
53,"management","married","university degree","no","no","no","cellular","jul","tue",2,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
52,"admin","married","university degree","no","no","no","cellular","aug","tue",1,0,"non existent",4.968,0,1.4,93.444,-36.1,5228.1,"0"
37,"management","married","university degree","no","no","yes","cellular","apr","fri",1,1,"failure",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
58,"admin","married","high school","no","yes","no","cellular","jul","tue",1,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
37,"services","married","high school","no","yes","yes","cellular","may","thu",3,0,"non existent",1.266,0,-1.8,92.893,-46.2,5099.1,"0"
38,"admin","single","basic 9y","no","yes","no","cellular","may","fri",1,0,"non existent",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
33,"services","single","basic 9y","no","yes","no","cellular","apr","thu",2,0,"non existent",1.41,0,-1.8,93.075,-47.1,5099.1,"0"
45,"services","married","high school","no","yes","no","cellular","may","fri",1,0,"non existent",1.25,0,-1.8,92.893,-46.2,5099.1,"0"
44,"entrepreneur","married","professional course","no","no","no","telephone","may","mon",1,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
38,"blue collar","married","basic 6y","no","yes","no","telephone","jul","thu",2,0,"non existent",4.966,0,1.4,93.918,-42.7,5228.1,"0"
34,"blue collar","married","basic 9y","no","no","no","telephone","jun","tue",1,0,"non existent",0.702,0,-1.7,94.055,-39.8,4991.6,"0"
47,"management","married","university degree","no","yes","no","cellular","jul","wed",1,0,"non existent",1.029,0,-2.9,92.469,-33.6,5076.2,"0"
59,"admin","married","university degree","no","yes","yes","cellular","jul","wed",1,0,"non existent",1.085,0,-2.9,92.469,-33.6,5076.2,"0"
51,"blue collar","married","basic 4y","no","yes","yes","cellular","aug","thu",2,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
31,"blue collar","married","basic 6y","no","yes","no","telephone","jun","wed",2,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"0"
56,"management","married","university degree","no","yes","yes","cellular","nov","wed",1,1,"failure",4.12,0,-0.1,93.2,-42,5195.8,"0"
39,"admin","married","university degree","no","no","no","telephone","jun","mon",2,0,"non existent",4.961,0,1.4,94.465,-41.8,5228.1,"0"
41,"entrepreneur","married","university degree","no","yes","no","cellular","nov","tue",1,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"1"
41,"management","divorced","basic 6y","no","yes","no","cellular","nov","thu",1,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
53,"services","married","high school","no","no","no","telephone","may","thu",4,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
35,"blue collar","married","high school","no","no","yes","cellular","jul","mon",4,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
58,"retired","married","basic 9y","no","no","yes","cellular","may","wed",1,0,"non existent",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
25,"self employed","married","professional course","no","yes","no","telephone","jun","wed",2,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
35,"blue collar","divorced","basic 9y","no","yes","no","cellular","may","tue",1,1,"failure",1.344,0,-1.8,92.893,-46.2,5099.1,"0"
28,"services","single","high school","no","no","no","cellular","jul","wed",1,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
55,"blue collar","married","professional course","no","yes","yes","cellular","may","fri",3,1,"failure",1.25,0,-1.8,92.893,-46.2,5099.1,"0"
54,"entrepreneur","married","basic 4y","no","no","yes","telephone","may","thu",1,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
45,"technician","divorced","basic 9y","no","no","no","cellular","jul","wed",2,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
32,"blue collar","married","basic 9y","no","yes","no","cellular","apr","thu",1,1,"failure",1.41,0,-1.8,93.075,-47.1,5099.1,"0"
50,"admin","married","basic 9y","no","yes","no","cellular","aug","thu",3,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
60.9937769026893,"retired","married","basic 4y","no","no","no","cellular","apr","tue",1,1,"failure",1.405,0,-1.8,93.075,-47.1,5099.1,"1"
33,"self employed","divorced","university degree","no","no","no","telephone","may","wed",4,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
29,"management","married","university degree","no","no","yes","cellular","aug","wed",2,0,"non existent",4.967,0,1.4,93.444,-36.1,5228.1,"0"
45,"management","married","university degree","no","yes","no","cellular","may","thu",1,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
38,"admin","divorced","university degree","no","no","no","cellular","apr","mon",1,0,"non existent",1.392,0,-1.8,93.075,-47.1,5099.1,"1"
24,"services","single","professional course","no","yes","no","telephone","may","mon",1,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
41,"technician","married","professional course","no","yes","no","cellular","aug","mon",1,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
58,"retired","divorced","high school","no","yes","no","cellular","jun","tue",1,0,"non existent",1.262,0,-2.9,92.963,-40.8,5076.2,"1"
34,"admin","married","university degree","no","no","yes","telephone","may","wed",2,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
34,"admin","married","university degree","no","no","no","cellular","nov","mon",2,0,"non existent",1.05,0,-1.1,94.767,-50.8,4963.6,"0"
37,"technician","divorced","professional course","no","no","no","telephone","may","wed",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
53,"blue collar","divorced","basic 4y","no","no","no","telephone","jun","wed",1,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"1"
54,"technician","divorced","professional course","no","yes","yes","cellular","jul","tue",1.67505009444205,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
32,"technician","divorced","professional course","no","yes","no","cellular","nov","tue",1,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
42,"admin","married","high school","no","yes","no","cellular","jul","fri",6,0,"non existent",4.962,0,1.4,93.918,-42.7,5228.1,"0"
28,"technician","single","professional course","no","yes","no","cellular","aug","thu",2,1,"success",0.851,3,-2.9,92.201,-31.4,5076.2,"1"
33,"services","single","high school","no","yes","no","telephone","may","fri",1,0,"non existent",4.864,0,1.1,93.994,-36.4,5191,"0"
41,"blue collar","married","basic 9y","no","yes","no","cellular","apr","mon",2,0,"non existent",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
31,"services","married","high school","no","no","yes","cellular","nov","thu",1,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
40,"technician","married","basic 9y","no","no","yes","telephone","may","thu",4,0,"non existent",4.86,0,1.1,93.994,-36.4,5191,"0"
53,"housemaid","married","basic 9y","no","no","yes","cellular","nov","wed",1,1,"failure",0.716,0,-3.4,92.649,-30.1,5017.5,"0"
40,"admin","divorced","university degree","no","yes","no","cellular","aug","mon",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
44.3585919812832,"housemaid","married","basic 4y","no","no","no","telephone","sep","tue",3,2,"success",0.877,3,-1.1,94.199,-37.5,4963.6,"1"
28,"blue collar","married","basic 4y","no","yes","no","cellular","jul","mon",1,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"0"
30,"admin","married","high school","no","yes","no","cellular","nov","wed",3,0,"non existent",4.12,0,-0.1,93.2,-42,5195.8,"0"
31,"unemployed","single","university degree","no","yes","no","cellular","jul","tue",1,3,"success",0.835,6,-1.7,94.215,-40.3,4991.6,"1"
32,"technician","single","university degree","no","yes","no","cellular","aug","wed",1,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
54,"blue collar","married","basic 4y","no","yes","no","cellular","aug","tue",1,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
31,"blue collar","married","basic 9y","no","no","no","cellular","jul","wed",1,0,"non existent",4.963,0,1.4,93.918,-42.7,5228.1,"0"
50,"services","married","high school","no","yes","no","cellular","aug","thu",2,0,"non existent",4.968,0,1.4,93.444,-36.1,5228.1,"0"
47,"technician","single","university degree","no","no","no","cellular","jul","tue",2,0,"non existent",4.961,0,1.4,93.918,-42.7,5228.1,"0"
31,"admin","single","high school","no","yes","yes","cellular","may","wed",1,0,"non existent",1.281,0,-1.8,92.893,-46.2,5099.1,"0"
32,"unemployed","married","high school","no","yes","no","cellular","nov","thu",1,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
46,"admin","single","high school","no","yes","no","cellular","nov","mon",2,2,"failure",1.048,0,-1.1,94.767,-50.8,4963.6,"0"
47,"admin","single","high school","no","no","no","cellular","may","mon",2,0,"non existent",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
32,"admin","single","high school","no","no","no","cellular","nov","mon",2,2,"failure",1.048,0,-1.1,94.767,-50.8,4963.6,"0"
52,"services","divorced","high school","no","no","no","cellular","nov","mon",1,0,"non existent",4.191,0,-0.1,93.2,-42,5195.8,"0"
45,"admin","married","high school","no","yes","no","cellular","oct","fri",3,1,"success",1.029,6,-1.1,94.601,-49.5,4963.6,"1"
32,"admin","married","university degree","no","yes","no","cellular","may","fri",2,0,"non existent",1.313,0,-1.8,92.893,-46.2,5099.1,"0"
39.0455732041797,"blue collar","divorced","basic 4y","no","no","no","cellular","aug","thu",1,0,"non existent",0.904,0,-1.7,94.027,-38.3,4991.6,"0"
49,"services","married","high school","no","yes","no","telephone","may","fri",2,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
46,"admin","married","high school","no","yes","yes","telephone","jun","wed",2.94615951394468,0,"non existent",4.864,0,1.4,94.465,-41.8,5228.1,"0"
46,"blue collar","married","professional course","no","no","no","cellular","nov","fri",1,0,"non existent",1.028,0,-1.1,94.767,-50.8,4963.6,"0"
38,"admin","married","university degree","no","yes","no","cellular","aug","tue",6,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
57,"services","married","professional course","no","no","no","cellular","aug","mon",2,0,"non existent",4.965,0,1.4,93.444,-36.1,5228.1,"0"
41,"services","single","high school","no","yes","yes","cellular","may","mon",2,1,"failure",1.299,0,-1.8,92.893,-46.2,5099.1,"0"
44,"technician","married","professional course","no","no","no","telephone","may","fri",3,0,"non existent",4.864,0,1.1,93.994,-36.4,5191,"0"
47,"technician","married","university degree","no","yes","no","cellular","aug","wed",1.26732420369643,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
40,"blue collar","married","basic 9y","no","yes","yes","telephone","may","wed",2,0,"non existent",4.858,0,1.1,93.994,-36.4,5191,"0"
57,"retired","single","professional course","no","yes","no","telephone","may","mon",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
27,"admin","single","university degree","no","no","no","cellular","mar","tue",1,1,"success",0.637,3,-1.8,93.369,-34.8,5008.7,"1"
52,"blue collar","married","basic 9y","no","no","no","cellular","aug","fri",1,0,"non existent",4.966,0,1.4,93.444,-36.1,5228.1,"1"
34,"management","married","university degree","no","yes","yes","telephone","jun","wed",1,0,"non existent",1.26,0,-2.9,92.963,-40.8,5076.2,"0"
42,"entrepreneur","married","university degree","no","yes","no","telephone","may","tue",1,0,"non existent",4.857,0,1.1,93.994,-36.4,5191,"0"
51,"technician","married","professional course","no","yes","no","telephone","jun","fri",3,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
45,"management","married","basic 4y","no","yes","no","telephone","may","fri",1,0,"non existent",4.855,0,1.1,93.994,-36.4,5191,"0"
56,"retired","married","high school","no","no","no","cellular","may","mon",1,0,"non existent",1.244,0,-1.8,92.893,-46.2,5099.1,"0"
41,"management","married","university degree","no","yes","no","cellular","may","thu",1,0,"non existent",1.327,0,-1.8,92.893,-46.2,5099.1,"0"
44,"admin","married","high school","no","yes","no","cellular","aug","fri",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
50,"blue collar","married","basic 6y","no","yes","no","cellular","may","mon",3,1,"success",1.354,3,-1.8,92.893,-46.2,5099.1,"1"
54,"self employed","married","high school","no","no","no","cellular","aug","tue",3,0,"non existent",4.963,0,1.4,93.444,-36.1,5228.1,"0"
51,"blue collar","married","basic 6y","no","no","no","cellular","aug","fri",1,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
30,"blue collar","single","basic 9y","no","no","no","cellular","nov","wed",1,0,"non existent",4.12,0,-0.1,93.2,-42,5195.8,"0"
42,"housemaid","married","basic 4y","no","yes","no","telephone","jun","fri",2.69134632103782,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
41,"technician","married","professional course","no","yes","no","telephone","jun","mon",1.05927836435145,0,"non existent",4.865,0,1.4,94.465,-41.8,5228.1,"0"
47,"services","single","basic 9y","no","no","no","cellular","nov","tue",2,0,"non existent",4.153,0,-0.1,93.2,-42,5195.8,"0"
35,"blue collar","married","basic 6y","no","yes","no","cellular","apr","fri",1,1,"failure",1.405,0,-1.8,93.075,-47.1,5099.1,"0"
58,"blue collar","married","basic 9y","no","no","no","cellular","nov","tue",1,1,"failure",4.153,0,-0.1,93.2,-42,5195.8,"0"
50,"blue collar","divorced","high school","no","yes","yes","cellular","jul","mon",2,0,"non existent",4.96,0,1.4,93.918,-42.7,5228.1,"1"
41,"technician","married","professional course","no","no","no","telephone","may","tue",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
38,"technician","married","university degree","no","yes","no","cellular","may","wed",1,0,"non existent",1.334,0,-1.8,92.893,-46.2,5099.1,"0"
32,"student","single","university degree","no","no","no","cellular","nov","thu",2,0,"non existent",4.076,0,-0.1,93.2,-42,5195.8,"0"
21,"student","single","high school","no","no","no","cellular","aug","tue",1,1,"failure",0.884,0,-2.9,92.201,-31.4,5076.2,"0"
46,"admin","divorced","basic 9y","no","no","no","telephone","may","wed",1,0,"non existent",4.856,0,1.1,93.994,-36.4,5191,"0"
42,"self employed","married","university degree","no","yes","no","cellular","nov","fri",3,0,"non existent",4.021,0,-0.1,93.2,-42,5195.8,"0"
55,"services","married","basic 9y","no","no","no","cellular","aug","wed",-0.0693879464676206,0,"non existent",4.964,0,1.4,93.444,-36.1,5228.1,"0"
29,"admin","single","high school","no","yes","no","telephone","nov","mon",1,1,"success",1.05,6,-1.1,94.767,-50.8,4963.6,"0"
30,"blue collar","single","basic 6y","no","yes","no","telephone","jun","wed",1,0,"non existent",4.959,0,1.4,94.465,-41.8,5228.1,"0"
53,"management","married","basic 4y","no","yes","no","cellular","nov","wed",1,0,"non existent",4.12,0,-0.1,93.2,-42,5195.8,"0"
